LINEUPS,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
I. Smith - K. Caldwell-Pope - N. Jokic - M. Porter Jr. - C. Braun,1,1,0,3,10,4,6,66.7,2,3,66.7,0,0,0,0,1,1,4,1,3,0,0,0,0,5
J. Green - I. Smith - V. Cancar - Z. Nnaji - C. Braun,1,0,1,3,6,2,3,66.7,0,0,0,2,4,50,0,0,0,1,1,0,0,0,4,2,-7
B. Brown - M. Porter Jr. - Z. Nnaji - B. Hyland - C. Braun,1,0,1,3,5,2,5,40,1,2,50,0,0,0,0,0,0,1,2,0,0,0,0,0,-5
J. Green - D. Jordan - J. Murray - D. Reed - B. Hyland,1,0,1,3,5,2,6,33.3,0,3,0,1,3,33.3,1,1,2,1,0,0,1,1,1,2,-8
J. Green - K. Caldwell-Pope - B. Brown - M. Porter Jr. - C. Braun,1,0,1,3,6,2,7,28.6,0,1,0,2,2,100,1,1,2,1,0,1,0,0,1,1,-3
J. Green - A. Gordon - D. Reed - B. Brown - B. Hyland,1,0,1,3,5,2,7,28.6,1,3,33.3,0,0,0,2,5,7,0,3,1,0,0,2,0,1
K. Caldwell-Pope - D. Reed - Z. Nnaji - B. Hyland - C. Braun,1,1,0,3,7,2,4,50,1,2,50,2,2,100,0,1,1,2,2,1,1,0,2,2,-1
R. Jackson - K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson,1,0,1,3,13,5,5,100,2,2,100,1,1,100,0,1,1,5,0,0,1,0,0,1,7
I. Smith - A. Gordon - V. Cancar - B. Brown - Z. Nnaji,1,0,1,3,7,3,5,60,1,2,50,0,0,0,0,3,3,3,1,0,0,1,0,0,-1
D. Jordan - K. Caldwell-Pope - A. Gordon - M. Porter Jr. - B. Hyland,1,1,0,3,7,3,4,75,1,2,50,0,0,0,0,3,3,3,0,0,0,0,0,1,3
J. Green - K. Caldwell-Pope - V. Cancar - B. Hyland - C. Braun,1,0,1,3,5,2,5,40,0,1,0,1,2,50,0,1,1,2,0,1,0,0,0,2,1
A. Gordon - B. Brown - M. Porter Jr. - C. Braun - P. Watson,1,1,0,3,8,3,8,37.5,0,0,0,2,3,66.7,2,3,5,1,0,1,1,1,2,1,1
I. Smith - N. Jokic - D. Reed - B. Brown - Z. Nnaji,1,1,0,3,10,4,5,80,1,2,50,1,2,50,1,2,3,3,1,1,0,0,0,1,8
R. Jackson - T. Bryant - V. Cancar - B. Brown - C. Braun,1,1,0,3,5,1,4,25,1,2,50,2,2,100,0,1,1,0,0,0,0,0,1,1,-3
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - D. Reed,1,0,1,3,7,2,4,50,0,1,0,3,4,75,0,4,4,2,1,2,0,0,1,2,7
V. Cancar - B. Brown - M. Porter Jr. - Z. Nnaji - C. Braun,1,1,0,3,5,1,4,25,1,3,33.3,2,2,100,0,1,1,1,1,1,1,0,2,2,-1
J. Green - D. Jordan - V. Cancar - B. Hyland - C. Braun,1,1,0,3,4,2,5,40,0,2,0,0,0,0,0,3,3,1,1,0,0,1,0,0,-4
J. Green - J. Murray - D. Reed - M. Porter Jr. - Z. Nnaji,1,1,0,3,7,2,4,50,1,1,100,2,2,100,1,3,4,1,1,0,0,1,0,3,5
I. Smith - R. Jackson - T. Bryant - Z. Nnaji - P. Watson,1,1,0,3,4,2,6,33.3,0,2,0,0,0,0,0,1,1,1,1,0,0,2,1,0,-7
I. Smith - D. Reed - Z. Nnaji - C. Braun - P. Watson,1,0,1,3,6,3,7,42.9,0,1,0,0,0,0,2,2,4,1,1,1,0,1,3,0,1
K. Caldwell-Pope - A. Gordon - N. Jokic - V. Cancar - D. Reed,1,1,0,3,9,2,5,40,2,5,40,3,4,75,1,0,1,2,0,0,0,0,0,2,-2
K. Caldwell-Pope - N. Jokic - Z. Nnaji - B. Hyland - C. Braun,1,0,1,3,4,0,3,0,0,2,0,4,4,100,0,1,1,0,1,0,1,0,0,3,-4
I. Smith - K. Caldwell-Pope - N. Jokic - V. Cancar - M. Porter Jr.,1,1,0,3,9,4,4,100,1,1,100,0,0,0,0,2,2,3,1,0,0,0,1,0,4
